L039,1729638.870,8205371.655,49,0475941,3,4054816
L040,1729637.959,8205371.667,49,0475943,3,4054691
L041,1729637.292,8205371.559,49,0475933,3,4054600
L042,1729636.364,8205371.599,49,0475937,3,4054473
L043,1729635.434,8205371.738,49,0475950,3,4054346
L044,1729635.041,8205373.947,49,0476149,3,4054294
L045,1729633.791,8205370.605,49,0475849,3,4054120
L046,1729638.962,8205373.876,49,0476141,3,4054830
L047,1729643.501,8205373.026,49,0476062,3,4055450
L048,1729641.750,8205371.751,49,0475948,3,4055210
L049,1729641.262,8205369.494,49,0475746,3,4055141
L050,1729637.988,8205370.921,49,0475876,3,4054695
L051,1729647.346,8205371.424,49,0475916,3,4055975
L052,1729647.929,8205373.318,49,0476086,3,4056056
L053,1729632.344,8205371.211,49,0475904,3,4053923
L054,1729643.836,8205375.250,49,0476262,3,4055498
L055,1729643.666,8205378.235,49,0476531,3,4055477
L056,1729640.693,8205375.532,49,0476289,3,4055068
L057,1729637.546,8205375.557,49,0476293,3,4054637
L058,1729634.838,8205375.697,49,0476307,3,4054267
L059,1729635.024,8205378.419,49,0476551,3,4054295
L060,1729635.116,8205381.028,49,0476786,3,4054309
L061,1729637.856,8205381.151,49,0476796,3,4054684
L062,1729647.770,8205383.504,49,0477002,3,4056042
L063,1729646.007,8205385.044,49,0477142,3,4055802
L064,1729642.926,8205383.194,49,0476977,3,4055379
L065,1729639.718,8205383.476,49,0477004,3,4054940
L066,1729636.727,8205383.182,49,0476979,3,4054531
L067,1729633.933,8205382.122,49,0476885,3,4054148
L068,1729630.212,8205381.558,49,0476836,3,4053639
L069,1729648.457,8205382.775,49,0476937,3,4056135
L070,1729647.240,8205383.991,49,0477047,3,4055970
L071,1729642.097,8205381.273,49,0476805,3,4055264
L072,1729642.766,8205384.643,49,0477107,3,4055358
L073,1729638.639,8205382.560,49,0476922,3,4054792
L074,1729638.538,8205390.238,49,0477612,3,4054784
L075,1729644.161,8205385.431,49,0477177,3,4055550
L076,1729643.106,8205385.454,49,0477180,3,4055405
L077,1729642.041,8205385.559,49,0477190,3,4055260
L078,1729641.044,8205385.632,49,0477197,3,4055123
L079,1729640.052,8205385.614,49,0477196,3,4054988
L080,1729639.474,8205385.757,49,0477209,3,4054909
L081,1729637.339,8205385.826,49,0477216,3,4054617
L082,1729638.685,8205384.638,49,0477109,3,4054800
L083,1729643.698,8205378.272,49,0476534,3,4055481
L084,1729636.419,8205375.065,49,0476249,3,4054483
L085,1729635.403,8205378.684,49,0476575,3,4054347
L086,1729638.174,8205381.290,49,0476808,3,4054728
L087,1729641.267,8205395.625,49,0478096,3,4055161
L088,1729641.595,8205397.444,49,0478259,3,4055207
L089,1729639.129,8205394.091,49,0477959,3,4054868
L090,1729634.158,8205388.053,49,0477418,3,4054183
L091,1729634.652,8205396.468,49,0478175,3,4054257
L092,1729626.192,8205399.415,49,0478444,3,4053102
L093,1729625.186,8205391.584,49,0477740,3,4052958
L094,1729619.547,8205383.785,49,0477041,3,4052181
L095,1729633.029,8205384.275,49,0477079,3,4054026
L096,1729634.301,8205384.350,49,0477085,3,4054200
L097,1729636.469,8205382.509,49,0476918,3,4054495
L098,1729633.597,8205382.570,49,0476925,3,4054102
L099,1729633.577,8205372.276,49,0476000,3,4054092
L100,1729634.298,8205374.132,49,0476166,3,4054192
L103,1729644.873,8205371.463,49,0475921,3,4055637
L104,1729641.131,8205372.040,49,0475975,3,4055125
L105,1729633.463,8205372.104,49,0475984,3,4054076
L107,1729665.686,8205394.712,49,0478002,3,4058501
L108,1729673.365,8205379.416,49,0476623,3,4059540
L109,1729658.595,8205383.953,49,0477038,3,4057523
L110,1729640.756,8205369.443,49,0475741,3,4055072
L111,1729605.478,8205386.247,49,0477269,3,4050258
L112,1729609.152,8205381.559,49,0476846,3,4050757
